,2/13/2023,2/14/2023,15/2/2023,2/16/2023,2023-02-17,2023-02-20,Delta
SSI,-0.066666667,-0.084349502,0.005060516,-0.005102041,-0.0666666666666666,0.1111111111111111,0.1777777777777777
FPT,,0.021442557,0.034530777,,-0.0488888888888888,0.10222222222222221,0.15111111111111103
ACB,-0.095238095,-0.0269702,0.161413838,0.005102041,-0.0133333333333333,0.12,0.1333333333333333
MSN,0.104761905,-0.028908251,0.065671695,-0.137755102,-0.1111111111111111,0.0044444444444444444,0.11555555555555555
VRE,0.095238095,-0.005226866,-0.042005973,-0.076530612,-0.0222222222222222,0.07555555555555556,0.09777777777777776
CTG,0.085714286,-0.043161175,-0.042108072,0.066326531,-0.0044444444444444,0.06666666666666667,0.07111111111111107
GVR,0.00952381,-0.017760738,0.021411322,-0.035714286,-0.0311111111111111,0.03111111111111111,0.06222222222222221
HPG,-0.114285714,0.000322524,0.037141159,0.086734694,-0.0755555555555555,-0.013333333333333336,0.062222222222222165
VPB,0.019047619,0.026260635,-0.012463597,0.015306122,-0.0844444444444444,-0.031111111111111114,0.05333333333333329
MBB,-2.87e-17,0.022937254,0.028592497,-0.045918367,-0.0577777777777777,-0.004444444444444445,0.053333333333333253
TPB,-0.133333333,-0.063856748,0.120052781,-0.015306122,0.0399999999999999,0.08444444444444443,0.044444444444444536
MWG,0.076190476,-0.082084352,-0.022511042,-0.066326531,-0.0933333333333333,-0.05777777777777778,0.035555555555555514
VHM,0.038095238,0.2,-0.069786316,,0.1111111111111111,0.1288888888888889,0.01777777777777778
VNM,-0.00952381,-0.011237602,0.051975312,-0.096938776,-0.1022222222222222,-0.08444444444444446,0.01777777777777774
PLX,-0.123809524,-0.104963728,0.083345779,0.096938776,-0.0399999999999999,-0.022222222222222227,0.01777777777777767
POW,-0.057142857,-0.048167379,0.018118712,0.117346939,0.0933333333333333,0.09333333333333332,2.7755575615628914e-17
TCB,-0.076190476,-0.016879277,-0.014658108,-0.056122449,-0.12,-0.12000000000000001,-1.3877787807814457e-17
SAB,0.114285714,-0.098950373,-0.028450721,-0.117346939,-0.1288888888888889,-0.12888888888888891,-2.7755575615628914e-17
HDB,-0.038095238,-0.00648787,0.039641315,0.12755102,0.0577777777777777,0.04888888888888891,-0.008888888888888787
STB,0.133333333,-0.042218227,-0.133430427,0.076530612,0.0844444444444444,0.039999999999999994,-0.04444444444444441
NVL,0.028571429,-0.047123242,0.023828001,0.035714286,0.12,0.057777777777777775,-0.06222222222222222
PDR,0.057142857,0.160193096,-0.038069733,-0.107142857,0.0044444444444444,-0.06666666666666668,-0.07111111111111108
VCB,0.047619048,0.083719741,0.2,-0.12755102,0.0311111111111111,-0.039999999999999994,-0.0711111111111111
VIB,-0.019047619,-0.09075787,0.075450991,-0.025510204,0.1022222222222222,0.013333333333333332,-0.08888888888888886
BVH,-0.104761905,-0.090829478,-0.068571695,0.056122449,0.1288888888888889,0.02222222222222222,-0.10666666666666666
BID,0.123809524,0.053567913,-0.055617423,0.025510204,0.0666666666666666,-0.0488888888888889,-0.1155555555555555
BCM,-0.047619048,0.030208721,-0.034115651,0.045918367,0.0133333333333333,-0.11111111111111113,-0.12444444444444443
VJC,0.066666667,-0.023439738,-0.438211242,-0.086734694,0.0222222222222222,-0.10222222222222224,-0.12444444444444444
GAS,-0.085714286,-0.066627385,0.027712037,0.107142857,0.0488888888888889,-0.07555555555555557,-0.12444444444444447
VIC,-0.028571429,0.2,,0.137755102,0.0755555555555555,-0.09333333333333335,-0.16888888888888887
